timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2022-11-03 13:33:01.68		start_recording
MSG	2022-11-03 13:33:01.68		image_on
MSG	2022-11-03 13:33:01.69		Recording_Amir.avi
2022-11-03 13:33:03.090	1049472242	True	7	104.2957	14.8401	34.3217	17.2305	25.02505	89.4645	22.3802	28.8422	16.1897	25.5715	0.3421	0.5679	119.1269	7.3001	98.6819	23.6977	24.4786	0.5724	0.5416
2022-11-03 13:33:03.124	1049472276	True	7	93.1027	14.9189	37.4383	17.4575	25.0884	56.9827	23.813	32.4536	17.137	25.5692	0.3416	0.5676	129.2228	6.0247	102.7636	21.2761	24.6076	0.5721	0.5412
2022-11-03 13:33:03.157	1049472309	True	7	86.8002	17.1826	40.3393	17.6346	25.4306	44.4762	22.1403	34.0714	17.7346	25.7213	0.3412	0.5677	129.1243	12.2249	106.006	20.0767	25.1399	0.5718	0.541
2022-11-03 13:33:03.191	1049472343	True	7	89.3452	15.5146	43.544	17.7618	25.3428	55.7753	23.8089	36.5402	18.4011	25.4896	0.341	0.5677	122.915	7.2204	108.0028	18.5583	25.196	0.5715	0.5409
2022-11-03 13:33:03.224	1049472376	True	7	89.0993	4.1182	47.4452	17.7574	25.195	42.3967	-4.6797	37.4145	16.341	25.4259	0.3407	0.5674	135.8019	12.916	110.9566	17.8478	24.9641	0.5712	0.5405
2022-11-03 13:33:03.257	1049472409	True	7	105.4456	6.3934	50.7247	17.6477	25.33995	78.2075	9.3754	41.2683	15.7488	25.495	0.3406	0.5668	132.6837	3.4114	113.2041	16.3663	25.1849	0.5712	0.5399
2022-11-03 13:33:03.291	1049472443	True	7	81.4954	-5.6328	53.3316	17.3849	25.10345	39.9902	1.204	41.5388	14.5475	25.3495	0.3408	0.566	123.0005	-12.4695	114.3216	13.6977	24.8574	0.5712	0.5388
2022-11-03 13:33:03.323	1049472475	True	7	78.3276	21.9691	55.9762	17.1718	24.64385	44.8537	32.4855	42.1357	15.9098	25.045	0.3408	0.5649	111.8016	11.4527	114.3801	13.2973	24.2427	0.5709	0.5376
2022-11-03 13:33:03.356	1049472508	True	7	24.7066	91.5305	60.7465	16.3321	23.788249999999998	-54.4445	261.7699	-54.4445	261.7699	22.3752	0.3402	0.565	103.8577	-78.7088	113.7922	5.8952	25.2013	0.5707	0.5355
2022-11-03 13:33:03.390	1049472542	True	7	51.9271	-77.7993	60.0838	9.2073	25.668149999999997	1.9111	-134.4037	1.9111	-134.4037	26.9184	0.3403	0.5627	101.9431	-21.1949	113.0926	3.4629	24.4179	0.5705	0.5361
2022-11-03 13:33:03.423	1049472575	True	7	50.8127	-7.4784	60.6549	6.1985	24.59865	2.9446	-1.1606	2.4285	-67.6972	24.7288	0.3406	0.5637	98.6808	-13.7962	112.1938	1.7812	24.4685	0.5705	0.5361
2022-11-03 13:33:03.457	1049472609	True	7	63.2328	-21.7867	61.4044	3.9757	24.48525	28.9821	0.4055	11.3182	-44.7867	24.7467	0.3407	0.5638	97.4835	-43.9789	111.2572	-1.8554	24.2238	0.5704	0.5359
2022-11-03 13:33:03.490	1049472642	True	7	63.9462	12.1778	62.301	2.4597	24.59185	31.0372	27.4682	16.3265	-26.3909	24.9267	0.3406	0.5641	96.8551	-3.1125	110.3222	-2.4651	24.257	0.5704	0.5364
2022-11-03 13:33:03.524	1049472676	True	7	65.5266	10.3646	62.7387	1.3153	24.6589	40.0638	36.3963	21.2042	-13.3953	24.9788	0.3407	0.5642	90.9893	-15.6672	109.0415	-3.8232	24.339	0.5704	0.5365
2022-11-03 13:33:03.557	1049472709	True	7	66.2541	4.6704	65.9563	0.5045	24.79985	33.2252	21.6994	33.2252	21.6994	24.9901	0.3407	0.5643	99.283	-12.3586	108.3502	-4.8552	24.6096	0.5705	0.5367
2022-11-03 13:33:03.590	1049472742	True	7	53.4916	-1.8355	65.6054	0.9645	24.679949999999998	31.545	23.3658	31.545	23.3658	24.7802	0.3408	0.5643	75.4382	-27.0367	106.1833	-6.7183	24.5797	0.5705	0.5367
